DATE,DPI
2015-07-01,13859.068
2015-10-01,13927.682
2016-01-01,14045.8
2016-04-01,14120.447
2016-07-01,14245.148
2016-10-01,14399.918
2017-01-01,14632.653
2017-04-01,14822.832
2017-07-01,14984.248
2017-10-01,15167.77
2018-01-01,15462.953
2018-04-01,15685.872
2018-07-01,15876.07
2018-10-01,16041.292
2019-01-01,16196.046
2019-04-01,16258.409
2019-07-01,16400.478
2019-10-01,16539.568
2020-01-01,16698.583
2020-04-01,18306.164
